Index,Name,Classification,dD,dP,dH,BP,LD50,CAS,Desc,Img_URL,SDS_Page,Img_URL_alt,Toxicity_Ref
,2-Methyl Tetrahydrofuran (2-Me-THF),NH & NA,16.9,5,4.3,79,300 - 2000,96-47-9,Methyltetrahydrofuran appears as a colorless liquid with an ether-like odor. Less dense than water. Vapors heavier than air. Used to make other chemicals and as a solvent.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Methyltetrahydrofuran.svg/1200px-Methyltetrahydrofuran.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/2-Methyltetrahydrofuran,,
,2-Methylnaphthalene,NH & Aromatic,19.5,3.1,4.1,242,1630,,2-methylnaphthalene is a white crystalline solid.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/2-methylnaphthalene.svg/1200px-2-methylnaphthalene.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/2-Methylnaphthalene,,
,2-phenylbutene-1,Terpene,17.2,2,2.6,185,,2039-93-2,1-Phenyl-2-butene is a natural product found in Origanum sipyleum and Thymus longicaulis,http://www.chemspider.com/ImagesHandler.ashx?id=67435&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/1-Phenyl-2-butene,,
,2-Propanol,"Alcohol, Ketones, & Water",15.8,6.1,16.4,82,3600,67-63-0,"Isopropyl Alcohol is an isomer of propyl alcohol with antibacterial properties. Although the exact mechanism of isopropanol's disinfecting action is not known, it might kill cells by denaturing cell proteins and DNA, interfering with cellular metabolism, and dissolving cell lipo-protein membranes. Isopropanol is used in soaps and lotions as an antiseptic.",http://www.chemspider.com/ImagesHandler.ashx?id=3644&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Isopropyl-alcohol,,
,"2,2-Dimethyltetrahydrofuran",NH & NA,16,3.9,3.7,93,4000,1003-17-4,"2,2-Dimethyltetrahydrofuran is a heterocyclic ether used in the synthesis of tetrahydrofuran and other tetrahydropyran derivatives",http://www.chemspider.com/ImagesHandler.ashx?id=120544&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/2_2-Dimethyltetrahydrofuran,,
,"2,5-Dimethylthiophenol",NH & Aromatic,19.5,3.1,4.5,211.9,3150,4001-61-0,"2,5-Dimethylbenzenethiol was used in the synthesis of poly(2-dodecanoylsulfanyl-p-phenylenevinylene).",http://www.chemspider.com/ImagesHandler.ashx?id=70020&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/2_5-Dimethylbenzenethiol,,
,"3,4-Dimethylthiophenol",NH & Aromatic,19.5,3.1,4.5,211.9,,18800-53-8,,http://www.chemspider.com/ImagesHandler.ashx?id=79210&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/3_4-Dimethylbenzenethiol,,
,a-methylstyrene,NH & Aromatic,18.5,2.4,2.4,166,4500,98-83-9,"Isopropenylbenzene appears as a colorless liquid. Insoluble in water and less dense than water. Flash point 115°F. May be mildly toxic by ingestion, inhalation and skin absorption. Vapors may be narcotic by inhalation. Used as a solvent and to make other chemicals.",http://www.chemspider.com/ImagesHandler.ashx?id=7129&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/alpha-Methylstyrene,,
,Acetone,"Alcohol, Ketones, & Water",15.5,10.4,7,56,5800,67-64-1,"Acetone is a manufactured chemical that is also found naturally in the environment. It is a colorless liquid with a distinct smell and taste. It evaporates easily, is flammable, and dissolves in water. It is also called dimethyl ketone, 2-propanone, and beta-ketopropane. Acetone is used to make plastic, fibers, drugs, and other chemicals. It is also used to dissolve other substances. It occurs naturally in plants, trees, volcanic gases, forest fires, and as a product of the breakdown of body fat. It is present in vehicle exhaust, tobacco smoke, and landfill sites. Industrial processes contribute more acetone to the environment than natural processes.",https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=180&t=l,https://pubchem.ncbi.nlm.nih.gov/compound/180,,
,Allyl Methyl Sulfide,NH & NA,17,4.1,4.3,92,2980,10152-76-8,"Allyl methyl sulfide is a natural product found in Allium chinense, Dactylanthus taylorii, and other organisms",http://www.chemspider.com/ImagesHandler.ashx?id=21159856&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Allyl-methyl-sulfide,,
,Amyl Methyl Disulfide,NH & NA,16.9,4.9,3.7,200,,72437-68-4,Allyl methyl disulfide is an organic disulfide having allyl and methyl as the two organic groups. It has a role as a plant metabolite and a volatile oil component.,http://www.chemspider.com/ImagesHandler.ashx?id=455742&w=250&h=250,"https://pubchem.ncbi.nlm.nih.gov/compound/Allyl-methyl-disulfide#:~:text=Allyl%20methyl%20disulfide%20is%20an,and%20a%20volatile%20oil%20component.&text=Allyl%20methyl%20disulfide%20is%20a,other%20organisms%20with%20data%20available.",,
,Amyl methyl Sulfide,NH & NA,16.9,4.9,3.7,145,,CAS 1741-83-9,Amyl methyl sulfide is a natural product found in Brassica napus,http://www.chemspider.com/ImagesHandler.ashx?id=14860&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Amyl-methyl-sulfide,,
,Anisole,NH & Aromatic,17.8,4.4,6.9,154,5290,100-66-3,"Anisole appears as a clear straw-colored liquid with an aromatic odor. Insoluble in water and the same density as water. Vapors heavier than air. Moderately toxic by ingestion. A skin irritant. Used to make perfumes, flavorings and as a solvent.",http://www.chemspider.com/ImagesHandler.ashx?id=7238&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Anisole,,
,Artemisia Ketone,Terpene,15.9,5.8,5.1,181,2750,546-49-6,Flavoring Agent with a herbal honey mint berry odour.,http://www.chemspider.com/ImagesHandler.ashx?id=61641&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/3_3_6-Trimethylhepta-1_5-dien-4-one,,
,Benzaldehyde,NH & Aromatic,19.4,7.4,5.3,178.1,1300,100-52-7,Benzaldehyde appears as a clear colorless to yellow liquid with a bitter almond odor. Flash point near 145°F. More denser than water and insoluble in water. Hence sinks in water. Vapors are heavier than air. The primary hazard is to the environment. Immediate steps should be taken to limit spread to the environment. Easily penetrates the soil to contaminate groundwater and nearby waterways. Used in flavoring and perfume making.,http://www.chemspider.com/ImagesHandler.ashx?id=235&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Benzaldehyde,,
,Benzyl Benzoate,NH & Aromatic,20,5.1,5.2,324,1680,120-51-4,"Benzyl benzoate is a benzoate ester obtained by the formal condensation of benzoic acid with benzyl alcohol. It has been isolated from the plant species of the genus Polyalthia. It has a role as a scabicide, an acaricide and a plant metabolite. It is a benzyl ester and a benzoate ester. It derives from a benzoic acid.",http://www.chemspider.com/ImagesHandler.ashx?id=13856959&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Benzyl-benzoate,,
,Bisabolene,Terpene,16.7,2.2,4,130,5000,,(S)-beta-bisabolene is a beta-bisabolene which has (1S)-configuration. It is an enantiomer of a (R)-beta-bisabolene.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Bisabolene-alpha.svg/1200px-Bisabolene-alpha.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/beta-Bisabolene,,
,Butyl Benzoate,NH & Aromatic,18.3,5.6,5.5,250,5140,136-60-7,"Butyl benzoate is a benzoate ester obtained by condensation of benzoic acid and butanol. It is used as a perfume ingredient and as a solvent for cellulose ether, a dye carrier for textiles. It has a role as an antimicrobial food preservative, a fragrance and a plant metabolite.",http://www.chemspider.com/ImagesHandler.ashx?id=8374&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Butyl-benzoate,,
,Carbon Disulfide (0 Dipole Moment),NH & NA,20.2,0,0.6,46.3,3188,75-15-0,"Carbon disulfide appears as a clear colorless to light yellow volatile liquid with a strong disagreeable odor. Boiling point 46° C. Flash point -22°F. Flammable over a wide vapor/air concentration range(1%-50%). Vapors are readily ignited; the heat of a common light bulb may suffice. Insoluble in water and more dense (10.5 lb / gal) than water. Hence sinks in water. Vapors are heavier than air. Used in the manufacture of rayon and cellophane, in the manufacture of flotation agents and as a solvent.",http://www.chemspider.com/ImagesHandler.ashx?id=6108&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Carbon-disulfide,,
,Carvone,Terpene,18,5.6,6.4,231,2263,,"Carvone is a p-menthane monoterpenoid that consists of cyclohex-2-enone having methyl and isopropenyl substituents at positions 2 and 5, respectively. It has a role as an allergen. It is a member of carvones and a botanical anti-fungal agent.",http://www.chemspider.com/ImagesHandler.ashx?id=15855&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Carvone,,
,Chlorobenzene,Halogenated,19,7.6,2.1,132,1110,108-90-7,"Chlorobenzene is a colorless, flammable liquid with an aromatic, almond-like odor. Some of it will dissolve in water, but it readily evaporates into air. It does not occur naturally in the environment. Chlorobenzene production in the United States has declined by more than 60% from its peak in 1960. It was used in the past to make other chemicals, such as phenol and DDT. Now chlorobenzene is used as a solvent for some pesticide formulations, to degrease automobile parts, and as a chemical intermediate to make several other chemicals.",http://www.chemspider.com/ImagesHandler.ashx?id=7676&w=250&h=250,"https://pubchem.ncbi.nlm.nih.gov/compound/Chlorobenzene#:~:text=Chlorobenzene%20is%20a%20colorless%2C%20flammable,from%20its%20peak%20in%201960.",,
,Chloroform,Halogenated,17.8,3.1,5.7,61.2,2180,67-66-3,Most commonly used solvent for organic electronics fabrication,http://www.chemspider.com/ImagesHandler.ashx?id=5977&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Chloroform,,
,Citral,Terpene,16.3,2.3,6.2,225,4960,,Citral appears as a clear yellow colored liquid with a lemon-like odor. Less dense than water and insoluble in water. Toxic by ingestion. Used to make other chemicals.,https://file.medchemexpress.com/product_pic/hy-n7083.gif,https://pubchem.ncbi.nlm.nih.gov/compound/Citral,,
,Citronellal,Terpene,16.2,5.9,5.2,208,2420,,"Citronellal is a monoterpenoid, the main component of citronella oil which gives it its distinctive lemon aroma. It has a role as a metabolite and an antifungal agent. It is a monoterpenoid and an aldehyde.",http://www.chemspider.com/ImagesHandler.ashx?id=7506&w=250&h=250,https://pubchem.ncbi.nlm.nih.gov/compound/Citronellal,,
,Citronellol,Terpene,16,4.7,10.7,225,3450,,Citronellol is a monoterpenoid that is oct-6-ene substituted by a hydroxy group at position 1 and methyl groups at positions 3 and 7. It has a role as a plant metabolite.,http://www.chemspider.com/ImageView.aspx?id=13850135,https://pubchem.ncbi.nlm.nih.gov/compound/3_7-dimethyloct-6-en-1-ol,,
,Cocoa Butenal,Terpene,18.3,5.9,4.8,177,5000,4411-89-6,2-Phenyl-2-butenal is an olefinic compound.,https://foodb.ca/structures/FDB008257/image.svg,https://pubchem.ncbi.nlm.nih.gov/compound/6429333,https://foodb.ca/structures/FDB008257/image.svg,
,Cyclopentyl Methyl Ether (CPME),NH & NA,16.7,4.3,4.3,106,>200 - <2000,5614-37-9,,http://www.chemspider.com/ImageView.aspx?id=122157,https://pubchem.ncbi.nlm.nih.gov/compound/Cyclopentyl-methyl-ether,,
,Cynamaldehyde,Terpene,18.7,6.7,5.4,248,3350,,Cinnamaldehyde is a yellow oily liquid with a cinnamon odor and sweet taste.,http://www.chemspider.com/ImageView.aspx?id=553117,https://pubchem.ncbi.nlm.nih.gov/compound/Cinnamaldehyde,,
,d-Limonene,Terpene,17.2,1.8,4.3,177,5200,5989-27-5,"A naturally-occurring class of moterpenes which occur as a clear colorless liquid at room temperature. Limonene is the major component in the oil of oranges which has many uses, including as flavor and fragrance. It is recognized as safe in food by the Food and Drug Administration (FDA).",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/%28R%29-Limonen.svg/800px-%28R%29-Limonen.svg.png,https://www.fishersci.com/store/msds?partNumber=AC203731000&productDescription=%28-%29-LIMONENE+92%25+100ML&vendorId=VN00032119&countryCode=US&language=en,,
,Dicyclohexyl disulfide,NH & NA,17.7,1.9,3.1,162,2000,,Dicyclohexyl disulfide is an organic disulfide.,http://www.chemspider.com/ImageView.aspx?id=16423,https://pubchem.ncbi.nlm.nih.gov/compound/Dicyclohexyl-disulfide,,
,Diethyl Carbonate,NH & NA,15.1,6.3,3.5,127,1500,105-58-8,Diethyl carbonate appears as a colorless liquid with a mild pleasant odor. It is slightly less dense than water and insoluble in water. Hence floats on water. Flash point 77°F. Vapors are heavier than air. When heated to high temperatures it may emit acrid smoke. Used as a solvent.,http://www.chemspider.com/ImageView.aspx?id=7478,https://pubchem.ncbi.nlm.nih.gov/compound/Diethyl-carbonate,,
,Diethyl sulfide,NH & NA,16.8,3.1,2,92,2000,,Diethyl sulfide appears as a colorless oily liquid with a garlic-like odor. Less dense than water. Vapors heavier than air. May irritate skin and eyes. Used to make other chemicals.,http://www.chemspider.com/ImageView.aspx?id=9233,https://pubchem.ncbi.nlm.nih.gov/compound/Diethyl-sulfide,,
,Diethylene Glycol,"Alcohol, Ketones, & Water",16.6,12,19,245,15600,111-46-6,"Diethylene glycol appears as a colorless liquid. Denser than water. Contact may slightly irritate skin, eyes and mucous membranes. May be slightly toxic by ingestion. Used to make other chemicals.",http://www.chemspider.com/ImageView.aspx?id=13835180,https://pubchem.ncbi.nlm.nih.gov/compound/DI_Hydroxyethyl_ether,,
,Diiodooctane,Halogenated,18.1,3.8,3.3,332.5,5800,-,,http://www.chemspider.com/Chemical-Structure.81807.html,https://pubchem.ncbi.nlm.nih.gov/compound/1_8-Diiodooctane,,
,Dimethyl Disulfide,NH & NA,17.6,7.8,6.5,110,>290,,Dimethyl disulfide appears as a colorless oily liquid with a garlic-like odor. Denser than water and slightly soluble in water. Vapors heavier than air. May irritate skin and eyes. Used to make other chemicals.,http://www.chemspider.com/Chemical-Structure.11731.html,https://pubchem.ncbi.nlm.nih.gov/compound/Dimethyl-disulfide,,
,Dimethyl Sulfide,NH & NA,16.1,6.4,7.4,37,3300,75-18-3,Dimethyl sulfide appears as a clear colorless to straw colored liquid with a disagreeable odor. Flash point less than 0°F. Less dense than water and slightly soluble in water. Vapors are heavier than air.,http://www.chemspider.com/Chemical-Structure.1039.html,https://pubchem.ncbi.nlm.nih.gov/compound/Dimethyl-sulfide,,
,Dimethyl Sulfoxide (DMSO),NH & NA,18.4,16.4,10.2,191,14500,67-68-5,"Dimethyl Sulfoxide is a highly polar organic liquid that is used widely as a chemical solvent and a free radical scavenger. It shows a range of pharmacological activity including analgesia and anti-inflammation. Because of its ability to penetrate biological membranes, it is used as a vehicle for topical application of pharmaceuticals. It is also used to protect cells and tissue during cryopreservation and has been used to treat extravasation damage caused by anthracycline-based chemotherapy.",http://www.chemspider.com/Chemical-Structure.659.html,https://pubchem.ncbi.nlm.nih.gov/compound/Dimethyl-sulfoxide,,
,Dipentene,Terpene,16.7,2.2,4,176,2000,,Limonene is a monoterpene that is cyclohex-1-ene substituted by a methyl group at position 1 and a prop-1-en-2-yl group at position 4 respectively. It has a role as a human metabolite. It is a monoterpene and a cycloalkene. It derives from a hydride of a p-menthane.,https://www.wikidata.org/wiki/Q27888324,https://pubchem.ncbi.nlm.nih.gov/compound/Limonene,https://www.wikidata.org/wiki/Q27888324,
,Diphenyl Ether,NH & Aromatic,19.4,3.4,4,258,2450,,Diphenyl ether is an aromatic ether in which the oxygen is attached to two phenyl substituents. It has been found in muscat grapes and vanilla. It has a role as a plant metabolite.,https://www.tcichemicals.com/AT/en/p/P0177,https://pubchem.ncbi.nlm.nih.gov/compound/Diphenyl-ether,https://www.tcichemicals.com/AT/en/p/P0177,
,Diphenyl sulfide,NH & NA,20.3,3.5,3.5,296,12000,,Diphenyl sulfide is an aryl sulfide that consists of two phenyl groups connected by a sulphur atom.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Diphenyl_sulfide.svg/600px-Diphenyl_sulfide.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/Diphenyl-sulfide,https://www.wikidata.org/wiki/Q420998,
,Diphenylmethane,NH & Aromatic,19.5,1,1,264,2250,101-81-5,Diphenylmethane is a diarylmethane that is methane substituted by two phenyl groups.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Diphenylmethane.svg/440px-Diphenylmethane.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/Diphenylmethane,https://www.sigmaaldrich.com/US/en/product/aldrich/240079,
,Dipropyl Disulfide,NH & NA,16.2,4.5,3.4,193,2000,629-19-6,Dipropyl disulfide is an organic disulfide where the alkyl groups specified are propyl. It is a component of the essential oils obtained from Allium. It has a role as a plant metabolite.,https://www.sigmaaldrich.com/deepweb/content/dam/sigma-aldrich/product9/039/841603_dipropyl_sulfide_841603_dipropyl_sulfide_all.jpg/_jcr_content/renditions/841603_dipropyl_sulfide_841603_dipropyl_sulfide_all-large.jpg,https://pubchem.ncbi.nlm.nih.gov/compound/Dipropyl-disulfide,https://www.tcichemicals.com/OP/en/p/D0932,
,Ethanol,"Alcohol, Ketones, & Water",15.8,8.8,19.4,78.4,5628,64-17-5,"Ethanol is a primary alcohol that is ethane in which one of the hydrogens is substituted by a hydroxy group. It has a role as an antiseptic drug, a polar solvent, a neurotoxin, a central nervous system depressant, a teratogenic agent, a NMDA receptor antagonist, a protein kinase C agonist, a disinfectant, a human metabolite, a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite and a mouse metabolite. It is a primary alcohol, an alkyl alcohol, a volatile organic compound and a member of ethanols. It is a conjugate acid of an ethoxide.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Ethanol-structure.svg/2560px-Ethanol-structure.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/Ethanol,https://commons.wikimedia.org/wiki/File:Ethanol-structure.svg,
,Ethanolamine,NH & NA,17,15.5,21,170,10200,141-43-5,Monoethanolamine is a first generation monoethanolamine with antihistaminic property. Ethanolamine competes with free histamine for binding at the histamine (H)-1 receptor thereby acting as an inverse agonist that combines with and stabilizes the inactive form of the H1-receptor thereby shifting the equilibrium toward the inactive state. This leads to a reduction of the negative symptoms brought on by H1-receptor binding.,https://media.scbt.com/product/ethanolamine-141-43-5-_11_49_b_114947.jpg,https://pubchem.ncbi.nlm.nih.gov/compound/Ethanolamine,https://ar.m.wikipedia.org/wiki/%D9%85%D9%84%D9%81:Ethanolamine.png,
,Ethyl Acetate,NH & NA,18.8,5.3,7.2,77.1,5620,,Ethyl acetate appears as a clear colorless liquid with a fruity odor. Flash point 24°F. Less dense than water. Vapors heavier than air.,https://www.eptes.com/wp-content/uploads/2018/08/Ethyl-acetate.jpg,https://pubchem.ncbi.nlm.nih.gov/compound/Ethyl-acetate,https://byjus.com/chemistry/ethyl-acetate-formula/,
,Ethyl Lactate,NH & NA,16,7.6,12.5,154,2500,97-64-3,,https://upload.wikimedia.org/wikipedia/commons/2/27/Ethyl_lactate.png,,,
,Ethyl Methyl Sulfide,NH & NA,17.1,4.8,2.5,67,5000,,,http://www.stenutz.eu/chem/mol2svg.php?id=4410&w=6&h=6,,,
,Ethyl Pentyl Sulfide,NH & NA,16.6,2.8,3,172.3,,26158-99-6,,http://www.stenutz.eu/chem/mol2svg.php?id=21189&w=6&h=6,,,
,Ethyl Phenyl Sulfide,NH & Aromatic,19.2,4.7,5.6,204,,18800-53-8,,https://www.sigmaaldrich.com/deepweb/content/dam/sigma-aldrich/structure0/175/mfcd00009265.eps/_jcr_content/renditions/mfcd00009265-medium.png,https://pubchem.ncbi.nlm.nih.gov/compound/Ethyl-phenyl-sulfide#:~:text=Ethyl%20phenyl%20sulfide%20%7C%20C8H10S%20%2D%20PubChem,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=87799&t=l,
,Ethylene Glycol,"Alcohol, Ketones, & Water",17,11,26,197,4700,107-21-1,"Ethylene glycol is a clear, sweet, slightly viscous liquid that boils at 198 °C (388.4 °F). Its most common use is as an automotive antifreeze. ",https://www.tcichemicals.com/medias/E0105.jpg?context=bWFzdGVyfHJvb3R8Mjg3MjF8aW1hZ2UvanBlZ3xoZWYvaGNiLzg5MjU5NTU4MTc1MDIvRTAxMDUuanBnfDcyMGNjMWQ1OTA5YjdmMDdlNjNmM2EzN2M3OTYxMTA4OWZhMzdhY2EzYjQzMjRmYmY0YjljMzA0OGI0MGI1Njg,https://pubchem.ncbi.nlm.nih.gov/compound/174,https://www.tcichemicals.com/medias/E0105.jpg?context=bWFzdGVyfHJvb3R8Mjg3MjF8aW1hZ2UvanBlZ3xoZWYvaGNiLzg5MjU5NTU4MTc1MDIvRTAxMDUuanBnfDcyMGNjMWQ1OTA5YjdmMDdlNjNmM2EzN2M3OTYxMTA4OWZhMzdhY2EzYjQzMjRmYmY0YjljMzA0OGI0MGI1Njg,
,Ethylene Glycol Monomethyl Ether,"Alcohol, Ketones, & Water",16,8.2,15,124,"2,000",109-86-4,"Also known as 2-Methoxyethanol,  it is used as a solvent for many different purposes, (e.g., varnishes, dyes, and resins) and as a jet deicing additive.",http://structuresearch.merck-chemicals.com/getImage/MDA_CHEM_100859,https://pubchem.ncbi.nlm.nih.gov/compound/2-Methoxyethanol,http://structuresearch.merck-chemicals.com/getImage/MDA_CHEM_100859,
,Eucalyptol,Terpene,16.7,2.8,2.5,177,4280,10008-91-0,a liquid C10H18O with an odor of camphor that occurs in many essential oils (as of eucalyptus) and is used especially as an expectorant and flavoring agent. — called also cineole. ,http://www.chemspider.com/Chemical-Structure.2656.html,https://pubchem.ncbi.nlm.nih.gov/compound/2758,https://chem.nlm.nih.gov/chemidplus/structure/470-82-6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4014229/
,Eucarvone,Terpene,17.5,5,3.8,227,635, 503-93-5,"Eucarvone is a natural terpene found in Teucrium polium, Asarum hypogynum,  black currant, angelica root, and other organisms. ",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/EMB_Eucarvone.svg/1143px-EMB_Eucarvone.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/136330,,
,Farnesol,Terpene,16.4,3.8,7.7,111,2150,4602-84-0,"Farnesol is a colorless liquid with a delicate floral odor  found in Lonicera japonica, Alpinia hainanensis, and other organisms",https://upload.wikimedia.org/wikipedia/commons/d/d0/Farnesol_terpene.png,https://pubchem.ncbi.nlm.nih.gov/compound/445070,,
,Geraniol,Terpene,16,4.7,11,230,3600,106-24-1,"Geraniol is a monoterpene that is found within many essential oils of fruits, vegetables, and herbs including rose oil, citronella, lemongrass, lavender, and other aromatic plants. It is emitted from the flowers of many species of plant and is commonly used by the food, fragrance, and cosmetic industry",https://upload.wikimedia.org/wikipedia/commons/3/39/Geraniol.png,https://pubchem.ncbi.nlm.nih.gov/compound/Geraniol,,
,Glycerol,"Alcohol, Ketones, & Water",17.4,11.3,27.2,290,12600,56-81-5,"Used as a solvent, humectant, plasticizer, emollient, sweetener, coating for paper, antifreeze for automobiles, and fluid for gas meters, hydraulic jacks, and shock absorber; Also used to make nitroglycerol (dynamite), cosmetics, soaps, liqueurs, confectioneries, inks, lubricants, glues; and medications; Also used to keep fabrics pliable; to preserve printing on cotton; and to defrost windshields",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Glycerin_Skelett.svg/1200px-Glycerin_Skelett.svg.png,https://pubchem.ncbi.nlm.nih.gov/compound/753,,
